Month,Price,Change
9-Apr,890.2,-3.69%
9-May,928.65,4.32%
9-Jun,945.67,1.83%
9-Jul,934.23,-1.21%
9-Aug,949.38,1.62%
9-Sep,996.59,4.97%
9-Oct,1043.16,4.67%
9-Nov,1127.04,8.04%
9-Dec,1134.72,0.68%
10-Jan,1117.96,-1.48%
10-Feb,1095.41,-2.02%
10-Mar,1113.34,1.64%
10-Apr,1148.69,3.18%
10-May,1205.43,4.94%
10-Jun,1232.92,2.28%
10-Jul,1192.97,-3.24%
10-Aug,1215.81,1.91%
10-Sep,1270.98,4.54%
10-Oct,1342.02,5.59%
10-Nov,1369.89,2.08%
10-Dec,1390.55,1.51%
11-Jan,1360.46,-2.16%
11-Feb,1374.68,1.05%
11-Mar,1423.26,3.53%
11-Apr,1480.89,4.05%
11-May,1512.58,2.14%
11-Jun,1529.36,1.11%
11-Jul,1572.75,2.84%
11-Aug,1759.01,11.84%
11-Sep,1772.14,0.75%
11-Oct,1666.43,-5.97%
11-Nov,1739,4.35%
11-Dec,1639.97,-5.69%
12-Jan,1654.05,0.86%
12-Feb,1744.82,5.49%
12-Mar,1675.95,-3.95%
12-Apr,1649.2,-1.60%
12-May,1589.04,-3.65%
12-Jun,1598.76,0.61%
12-Jul,1594.29,-0.28%
12-Aug,1630.31,2.26%
12-Sep,1744.81,7.02%
12-Oct,1746.58,0.10%
12-Nov,1721.64,-1.43%
12-Dec,1684.76,-2.14%
13-Jan,1671.85,-0.77%
13-Feb,1627.57,-2.65%
13-Mar,1593.09,-2.12%
13-Apr,1487.86,-6.61%
13-May,1414.03,-4.96%
13-Jun,1343.35,-5.00%
13-Jul,1285.52,-4.30%
13-Aug,1351.74,5.15%
13-Sep,1348.6,-0.23%
13-Oct,1316.58,-2.37%
13-Nov,1275.86,-3.09%
13-Dec,1221.51,-4.26%
14-Jan,1244.27,1.86%
14-Feb,1299.58,4.45%
14-Mar,1336.08,2.81%
14-Apr,1298.45,-2.82%
14-May,1288.74,-0.75%
14-Jun,1279.1,-0.75%
14-Jul,1310.59,2.46%
14-Aug,1295.13,-1.18%
14-Sep,1236.55,-4.52%
14-Oct,1222.49,-1.14%
14-Nov,1175.33,-3.86%
14-Dec,1200.62,2.15%
15-Jan,1250.75,4.18%
15-Feb,1227.08,-1.89%
15-Mar,1178.63,-3.95%
15-Apr,1198.93,1.72%
15-May,1198.63,-0.03%
15-Jun,1181.5,-1.43%
15-Jul,1128.31,-4.50%
15-Aug,1117.93,-0.92%
15-Sep,1124.77,0.61%
15-Oct,1159.25,3.07%
15-Nov,1086.44,-6.28%
15-Dec,1075.74,-0.98%
16-Jan,1097.91,2.06%
16-Feb,1199.5,9.25%
16-Mar,1245.14,3.80%
16-Apr,1242.26,-0.23%
16-May,1260.95,1.50%
16-Jun,1276.4,1.23%
16-Jul,1336.66,4.72%
16-Aug,1340.17,0.26%
16-Sep,1326.61,-1.01%
16-Oct,1266.55,-4.53%
16-Nov,1238.35,-2.23%
16-Dec,1157.36,-6.54%
17-Jan,1192.1,3.00%
17-Feb,1234.2,3.53%
17-Mar,1231.42,-0.23%
17-Apr,1266.88,2.88%
17-May,1246.04,-1.64%
17-Jun,1260.26,1.14%
17-Jul,1236.84,-1.86%
17-Aug,1283.04,3.74%
17-Sep,1314.07,2.42%
17-Oct,1279.51,-2.63%
17-Nov,1281.9,0.19%
17-Dec,1264.45,-1.36%
18-Jan,1331.3,5.29%
18-Feb,1330.73,-0.04%
18-Mar,1324.66,-0.46%
18-Apr,1334.76,0.76%
18-May,1303.45,-2.35%
18-Jun,1281.57,-1.68%
18-Jul,1237.71,-3.42%
18-Aug,1201.71,-2.91%
18-Sep,1198.39,-0.28%
18-Oct,1215.39,1.42%
18-Nov,1220.65,0.43%
18-Dec,1250.4,2.44%
19-Jan,1291.75,3.31%
19-Feb,1320.07,2.19%
19-Mar,1300.9,-1.45%
19-Apr,1285.91,-1.15%
19-May,1283.7,-0.17%
19-Jun,1359.04,5.87%
19-Jul,1412.89,3.96%
19-Aug,1500.41,6.19%
19-Sep,1510.58,0.68%
19-Oct,1494.81,-1.04%
19-Nov,1470.79,-1.61%
19-Dec,1479.13,0.57%
20-Jan,1560.67,5.51%
20-Feb,1597.1,2.33%
20-Mar,1591.93,-0.32%
20-Apr,1683.17,5.73%
20-May,1715.91,1.95%
20-Jun,1732.22,0.95%
20-Jul,1846.51,6.60%
20-Aug,1968.63,6.61%
20-Sep,1921.92,-2.37%
20-Oct,1900.27,-1.13%
20-Nov,1866.3,-1.79%
20-Dec,1858.42,-0.42%
21-Jan,1866.98,0.46%
21-Feb,1808.17,-3.15%
21-Mar,1718.23,-4.97%
21-Apr,1760.04,2.43%
21-May,1850.26,5.13%
21-Jun,1834.57,-0.85%
21-Jul,1807.84,-1.46%
21-Aug,1785.28,-1.25%
21-Sep,1775.14,-0.57%
21-Oct,1776.85,0.10%
21-Nov,1821.76,2.53%
